City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
130,290,Benghazi,LY,77.67,clear sky,32.12,20.07,Tibesti Hotel
131,291,Erzin,TR,77.0,clear sky,36.96,36.2,Artemis Otel
132,293,Mount Pleasant,US,79.0,few clouds,32.79,-79.86,Best Western Patriots Point
134,299,Porto Santo,PT,73.4,scattered clouds,33.07,-16.34,Hotel Porto Santo & Spa
136,302,Hamilton,US,75.99,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
137,303,Sioux Falls,US,73.0,scattered clouds,43.55,-96.7,Holiday Inn Sioux Falls-City Centre
138,305,Szihalom,HU,77.34,overcast clouds,47.77,20.48,Balneo Hotel Zsori Thermal & Wellness
139,306,Mihail Kogalniceanu,RO,77.0,few clouds,44.37,28.45,Casa Bunicilor
140,308,Khabary,RU,70.68,broken clouds,53.63,79.53,"Gostinitsa ""Kolos"""
141,309,Roma,US,71.01,clear sky,43.21,-75.46,Wingate By Wyndham Rome
145,315,Maputo,MZ,73.99,broken clouds,-25.97,32.59,Pestana Rovuma
150,331,Muroto,JP,76.84,light rain,33.28,134.15,Oota Ryokan
152,334,Lincoln,US,77.0,light rain,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
153,336,Laurinburg,US,71.6,heavy intensity rain,34.77,-79.46,Holiday Inn Express & Suites Laurinburg
155,341,Tifton,US,78.8,overcast clouds,31.45,-83.51,Hilton Garden Inn Tifton
157,346,Jamestown,US,70.0,broken clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
158,349,Alofi,NU,71.6,overcast clouds,-19.06,-169.92,Taloa Heights
159,351,Nosy Varika,MG,71.53,light rain,-20.58,48.53,Hotel Volazara
163,355,Valdemarpils,LV,78.8,clear sky,57.37,22.59,Guest House Laumas
164,357,Trinidad,BO,77.0,broken clouds,-14.83,-64.9,Hotel Piesta
166,363,Saint-Pierre,RE,73.4,scattered clouds,-21.34,55.48,Lindsey Hôtel
170,367,Springdale,US,78.01,clear sky,36.19,-94.13,Springdale Inn
172,370,Monrovia,LR,78.8,light rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
176,379,Sayyan,YE,74.12,overcast clouds,15.17,44.32,الاستاذة مروى اليوسفي
177,381,Vao,NC,70.14,scattered clouds,-22.67,167.48,Hotel Kou-Bugny
180,385,Pochutla,MX,75.99,overcast clouds,15.74,-96.47,Hotel Posada San Jose
182,391,Saint George,US,75.2,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
186,402,Marshalltown,US,73.99,clear sky,42.05,-92.91,Best Western Regency Inn
187,403,Kaabong,UG,74.53,light rain,3.48,34.15,Rock Motel Ltd
188,404,Gondanglegi,ID,74.68,broken clouds,-7.75,112.01,Gg. Munasir Homestay
189,408,Paciran,ID,78.42,few clouds,-6.88,112.38,Tanjung Kodok Beach Resort
192,412,Padang,ID,79.16,scattered clouds,-0.95,100.35,Mercure Padang
194,415,Cascais,PT,73.99,few clouds,38.7,-9.42,Hotel Vila Galé Cascais
195,417,Simpang,ID,76.37,clear sky,-1.27,104.08,Sk 7 rt 1 dusun 3 rantau makmur berbak
197,420,Poso,ID,76.91,light rain,-1.4,120.75,Hotel 77 Poso
201,425,Richards Bay,ZA,73.62,clear sky,-28.78,32.04,BON Hotel Waterfront Richards Bay
205,433,Maua,BR,73.4,overcast clouds,-23.67,-46.46,Hotel Capriccio Mauá
206,434,Angarsk,RU,71.6,clear sky,52.54,103.89,Mini Hotel Fortuna
209,441,Kibaya,TZ,70.18,overcast clouds,-5.3,36.57,Lusaka Hotel
211,450,Tottori,JP,72.93,overcast clouds,35.5,134.23,Hotel Monarque Tottori
214,454,Cambridge,CA,71.01,few clouds,43.36,-80.31,Cambridge Gateway Suites
218,458,Ambulu,ID,74.25,overcast clouds,-8.35,113.61,Hotel Ambulu Jember
221,462,Casas Grandes,MX,75.96,clear sky,30.37,-107.95,PUEBLO DEL SOuL
222,464,Santo Antonio Da Platina,BR,75.11,scattered clouds,-23.3,-50.08,Hotel Kanôa Tropical
223,465,Hovd,MN,72.16,overcast clouds,48.01,91.64,Hotel Khovd
224,467,Krotoszyn,PL,74.59,light rain,51.7,17.44,Comfort
226,472,Makakilo City,US,75.2,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
227,473,Clarksburg,US,77.0,clear sky,39.28,-80.34,Greenbrier Motel & Restaurant
230,479,Praia Da Vitoria,PT,73.4,clear sky,38.73,-27.07,Hotel Branco I
231,480,Katobu,ID,74.55,scattered clouds,-4.94,122.53,La Ode Husein
235,487,Tautira,PF,77.0,light rain,-17.73,-149.15,Pension Oaoa
237,489,Caraballeda,VE,77.0,scattered clouds,10.61,-66.85,Hotel 15 Letras
239,491,Azacualpa,HN,78.01,mist,15.34,-88.55,Guevara
240,492,Sakaiminato,JP,75.2,broken clouds,35.55,133.23,味処・民宿 まつや
241,493,Raymondville,US,79.0,clear sky,26.48,-97.78,La Quinta Inn & Suites by Wyndham Raymondville
243,496,Kibondo,TZ,77.43,broken clouds,-3.59,30.72,Pongezi Annex Guest House
244,500,Namibe,AO,73.4,few clouds,-15.2,12.15,Hotel Chik Chik Namibe
245,502,Itiuba,BR,73.0,light rain,-10.69,-39.85,Resort Hotel-Rc
247,506,Sibolga,ID,77.58,light rain,1.74,98.78,Hotel Syariah CN Darussalam
251,517,Itanagar,IN,78.8,drizzle,27.1,93.62,OYO 45507 Hotel Moomsie
252,520,Patawag,PH,77.92,overcast clouds,8.11,122.62,Banigan Beach
255,523,Middlebury,US,71.01,clear sky,44.02,-73.17,Courtyard by Marriott Middlebury
